pair_id,pos_blob_id,neg_blob_id,pos_x,pos_y,neg_x,neg_y,dx_pos_to_neg,dy_pos_to_neg,distance,vector_error,pos_max_z,neg_min_z,size_mismatch_penalty,elongation_penalty,score
1,159,162,1521.1857961713488,1289.93203644084,1548.3520630583107,1290.6555514069348,27.16626739501953,0.723514974117279,27.175901412963867,1.80992591381073,26.782533645629883,-28.166316986083984,0.046511627906976744,0.3999999999999999,53.59737604690153
2,185,187,993.9655578420156,1464.7560946049477,968.8684415779402,1465.1240741458423,-25.097116470336914,0.3679795265197754,25.09981346130371,3.4054436683654785,5.441303253173828,-4.557858943939209,0.6,0.0,7.696440362930298
3,64,72,1663.7007498294931,684.1593418837367,1634.4487710057258,685.7115194117167,-29.251977920532227,1.5521775484085083,29.29313087463379,1.293270468711853,5.472156524658203,-4.190565586090088,0.7910447761194029,0.9166666666666667,7.308375433606295
4,175,182,1194.5384845426422,1396.7688152274354,1163.822266724687,1397.172915746651,-30.716217041015625,0.4041005074977875,30.718873977661133,2.2182908058166504,5.2037353515625,-4.089764595031738,0.625,0.5,7.059354543685913
5,127,136,894.1685280216611,1121.9910102365939,865.4781258903968,1120.5025680817828,-28.69040298461914,-1.4884421825408936,28.728986740112305,1.99753737449646,4.607267379760742,-3.9622631072998047,0.6,0.33333333333333326,6.637428466478984
6,161,164,1090.8415303400986,1303.9876524499957,1061.3239021321306,1301.5654484621125,-29.517627716064453,-2.42220401763916,29.616844177246094,3.0943243503570557,3.9896585941314697,-3.992480754852295,0.3333333333333333,0.0,6.101643840471904
7,167,169,1133.2532321807944,1333.24495563149,1157.9948822250608,1336.6459040847446,24.741649627685547,3.4009485244750977,24.974300384521484,5.4168806076049805,3.690654993057251,-5.602458477020264,0.7777777777777778,0.25,5.556895388497247
8,173,179,974.4991372335687,1380.5084452915648,1002.4908492694027,1384.4999690817824,27.99171257019043,3.9915237426757812,28.27486801147461,4.520192623138428,3.8706421852111816,-3.882214069366455,0.0,0.0,5.492759943008423
9,133,141,1354.4884420006658,1155.5078140103858,1386.4908385524182,1155.9968439440806,32.00239562988281,0.4890299439430237,32.00613021850586,3.63936185836792,3.874790668487549,-3.926523447036743,0.0,0.5,5.481633186340332
10,35,37,1086.6323258356051,399.16145275712313,1057.8142593523985,405.1664664859533,-28.818065643310547,6.005013942718506,29.437068939208984,5.514194488525391,4.991145610809326,-4.066784858703613,0.5714285714285714,0.25,5.479404653821673
11,193,196,1039.5097877167595,1502.8199294272174,1007.016224601353,1502.4851984172462,-32.49356460571289,-0.33473101258277893,32.49528884887695,4.079869270324707,4.427574634552002,-4.291033744812012,0.4,0.8333333333333333,5.445340410868327
12,114,122,968.8275211545258,1036.0223990008217,997.8262682778078,1032.7578625430062,28.998746871948242,-3.2645363807678223,29.181921005249023,2.8091652393341064,3.9100444316864014,-4.578541278839111,0.625,1.3333333333333335,5.1256697575251255
13,127,135,894.1685280216611,1121.9910102365939,915.2817645636306,1120.6700621548737,21.113237380981445,-1.3209481239318848,21.15452003479004,7.432241916656494,4.607267379760742,-4.557880401611328,0.0,0.33333333333333326,5.11569348971049
14,135,144,1143.4962521672483,1163.506207670002,1112.6183076826671,1169.4559126574839,-30.877944946289062,5.949705123901367,31.44593048095703,5.945915222167969,3.893622636795044,-4.745003700256348,0.6363636363636364,0.0,5.0293050896037705
15,53,53,1249.4043950335085,496.2033424539011,1221.3886486782285,500.8295003107935,-28.0157470703125,4.626157760620117,28.395130157470703,4.154476642608643,3.8628714084625244,-4.112204551696777,0.0,1.0,4.8978376388549805
16,114,123,968.8275211545258,1036.0223990008217,943.686209273692,1039.4221061119354,-25.141311645507812,3.399707078933716,25.37013053894043,4.437238693237305,3.9100444316864014,-4.220145225524902,0.6842105263157895,0.5,4.727359784276862
17,163,165,1272.8361034213112,1323.1778300257342,1243.9626796320715,1316.4966511157036,-28.873424530029297,-6.681179046630859,29.636341094970703,7.190881729125977,4.112414360046387,-4.331395149230957,0.0,0.5,4.3483686447143555
18,171,177,727.9074769154298,1380.14400738926,761.5932869953572,1384.2005648038828,33.68581008911133,4.0565571784973145,33.92918395996094,6.903248310089111,4.454936504364014,-3.942354679107666,0.375,0.5,4.070667028427124
19,125,136,831.3947380472324,1117.1862704946743,865.4781258903968,1120.5025680817828,34.08338928222656,3.3162975311279297,34.244346618652344,6.763014316558838,4.0894389152526855,-3.9622631072998047,0.2,0.5,3.970194864273071
20,45,46,1054.873660857557,464.88112666522005,1028.2434045476625,473.00222018705693,-26.63025665283203,8.12109375,27.841026306152344,7.847102165222168,4.725836277008057,-4.025717735290527,0.5,0.5,3.8280029296875
21,68,73,983.0031500334742,699.9952195016292,958.0546611034486,695.0620548562334,-24.948488235473633,-4.933164596557617,25.43153953552246,6.4909563064575195,3.9179012775421143,-4.412397861480713,0.6153846153846154,1.0,3.4694363704094524
22,187,192,935.5095221614835,1483.4982470188445,956.4921892032031,1477.5168484323992,20.982667922973633,-5.981398582458496,21.818557739257812,9.303548812866211,3.859347105026245,-4.215388774871826,0.0,0.0,3.422961473464966
23,134,143,936.4866862848297,1159.5185371962532,965.0017636519789,1168.0144708114483,28.515077590942383,8.495933532714844,29.753833770751953,8.995945930480957,3.9747872352600098,-4.123423099517822,0.42857142857142855,0.0,3.171665940965925
24,50,49,746.5022826420575,484.00212981722757,769.8303484358066,491.5758826932176,23.328065872192383,7.5737528800964355,24.526729583740234,9.588242530822754,4.097590923309326,-4.803278923034668,0.6363636363636364,0.5,2.970384944568981
25,195,201,821.9122508789037,1536.3436621694016,842.5035089850809,1537.4832188062726,20.591259002685547,1.139556646347046,20.622766494750977,8.076900482177734,4.272202491760254,-3.8341028690338135,0.6,0.6666666666666667,2.8011884530385336
26,72,78,1557.0099659683533,716.0245257004017,1579.7649213935458,722.9916905542302,22.754955291748047,6.967164993286133,23.79767608642578,9.421469688415527,4.414163589477539,-3.9783101081848145,0.42857142857142855,0.5,2.7531674248831615
27,79,86,1238.499569488598,792.5062777157303,1275.1953658768575,794.6081139595589,36.695796966552734,2.1018362045288086,36.755943298339844,8.59887409210205,3.8513736724853516,-3.8718268871307373,0.2,0.5,2.7237635135650633
28,71,77,1938.8631980385896,713.8727224919804,1974.6024432546624,707.8038570871189,35.7392463684082,-6.0688652992248535,36.25086212158203,9.133397102355957,4.1201395988464355,-3.9866747856140137,0.375,0.5,2.6651158332824707
29,28,30,1279.6117862894366,291.9900314001111,1244.182928056875,297.55714513076583,-35.42885971069336,5.567113876342773,35.86358642578125,8.58398151397705,4.23599910736084,-4.336552143096924,0.2727272727272727,1.5,2.507833220741966
30,4,8,914.4874337342973,58.01559070227337,876.8833922106701,60.31669439848314,-37.604042053222656,2.3011035919189453,37.674381256103516,9.28049373626709,3.9515488147735596,-4.148944854736328,0.5555555555555556,0.8333333333333333,2.0713579124874544
31,174,174,1102.0012081690643,1385.5036727408835,1075.2038397353617,1376.594555244378,-26.7973690032959,-8.909117698669434,28.23953628540039,9.56192684173584,4.066366672515869,-3.777479410171509,0.2,1.0,1.8628826618194578
32,28,29,1279.6117862894366,291.9900314001111,1241.4898741686418,291.03194090377025,-38.12191390991211,-0.9580904841423035,38.13395309448242,9.731765747070312,4.23599910736084,-4.331477165222168,0.25,2.0,1.4515933990478516
