pair_id,rank,pos_x,pos_y,neg_x,neg_y,dx,dy,distance,vector_error,confidence,score_v2,pos_peak_z,neg_peak_abs_z,amplitude_balance,human_label,comment
1,1,1521.1857961713488,1289.93203644084,1548.3520630583107,1290.6555514069348,27.16626739501953,0.723514974117279,27.175901412963867,1.80992591381073,high_confidence,55.522373835772235,26.782533645629883,28.166316986083984,0.9508709874586094,,
2,2,993.9655578420156,1464.7560946049477,968.8684415779402,1465.1240741458423,-25.097116470336914,0.3679795265197754,25.09981346130371,3.4054436683654785,high_confidence,9.671722453220221,5.441303253173828,4.557858943939209,0.8376410451449623,,
3,3,1663.7007498294931,684.1593418837367,1634.4487710057258,685.7115194117167,-29.251977920532227,1.5521775484085083,29.29313087463379,1.293270468711853,high_confidence,9.23549347950469,5.472156524658203,4.190565586090088,0.7657978289193464,,
4,4,1194.5384845426422,1396.7688152274354,1163.822266724687,1397.172915746651,-30.716217041015625,0.4041005074977875,30.718873977661133,2.2182908058166504,high_confidence,8.943711803415205,5.2037353515625,4.089764595031738,0.7859286298646462,,
5,5,894.1685280216611,1121.9910102365939,865.4781258903968,1120.5025680817828,-28.69040298461914,-1.4884421825408936,28.728986740112305,1.99753737449646,high_confidence,8.357434179499078,4.607267379760742,3.9622631072998047,0.8600028565100485,,
6,6,1090.8415303400986,1303.9876524499957,1061.3239021321306,1301.5654484621125,-29.517627716064453,-2.42220401763916,29.616844177246094,3.0943243503570557,high_confidence,8.266896769217658,3.9896585941314697,3.992480754852295,0.9992931310395434,,
7,7,1039.5097877167595,1502.8199294272174,1007.016224601353,1502.4851984172462,-32.49356460571289,-0.33473101258277893,32.49528884887695,4.079869270324707,high_confidence,7.583662900714372,4.427574634552002,4.291033744812012,0.9691612449230218,,
8,8,974.4991372335687,1380.5084452915648,1002.4908492694027,1384.4999690817824,27.99171257019043,3.9915237426757812,28.27486801147461,4.520192623138428,high_confidence,7.48679845611022,3.8706421852111816,3.882214069366455,0.9970192565508986,,
9,9,1354.4884420006658,1155.5078140103858,1386.4908385524182,1155.9968439440806,32.00239562988281,0.4890299439430237,32.00613021850586,3.63936185836792,high_confidence,7.455282762487274,3.874790668487549,3.926523447036743,0.986824788073471,,
10,10,1086.6323258356051,399.16145275712313,1057.8142593523985,405.1664664859533,-28.818065643310547,6.005013942718506,29.437068939208984,5.514194488525391,medium_confidence,7.39471870512732,4.991145610809326,4.066784858703613,0.8147998827956804,,
11,11,1133.2532321807944,1333.24495563149,1157.9948822250608,1336.6459040847446,24.741649627685547,3.4009485244750977,24.974300384521484,5.4168806076049805,medium_confidence,7.26329694015563,3.690654993057251,5.602458477020264,0.6587563313847479,,
12,12,1143.4962521672483,1163.506207670002,1112.6183076826671,1169.4559126574839,-30.877944946289062,5.949705123901367,31.44593048095703,5.945915222167969,medium_confidence,6.9886332093510415,3.893622636795044,4.745003700256348,0.8205731507827259,,
13,13,968.8275211545258,1036.0223990008217,997.8262682778078,1032.7578625430062,28.998746871948242,-3.2645363807678223,29.181921005249023,2.8091652393341064,high_confidence,6.8461567313491525,3.9100444316864014,4.578541278839111,0.8539934869120134,,
14,14,894.1685280216611,1121.9910102365939,915.2817645636306,1120.6700621548737,21.113237380981445,-1.3209481239318848,21.15452003479004,7.432241916656494,medium_confidence,6.794254760816063,4.607267379760742,4.557880401611328,0.9892806355527864,,
15,15,1249.4043950335085,496.2033424539011,1221.3886486782285,500.8295003107935,-28.0157470703125,4.626157760620117,28.395130157470703,4.154476642608643,high_confidence,6.776572687124224,3.8628714084625244,4.112204551696777,0.9393675241346219,,
16,16,968.8275211545258,1036.0223990008217,943.686209273692,1039.4221061119354,-25.141311645507812,3.399707078933716,25.37013053894043,4.437238693237305,high_confidence,6.622502904064476,3.9100444316864014,4.220145225524902,0.9265189283148589,,
17,17,1272.8361034213112,1323.1778300257342,1243.9626796320715,1316.4966511157036,-28.873424530029297,-6.681179046630859,29.636341094970703,7.190881729125977,medium_confidence,6.2472553629010115,4.112414360046387,4.331395149230957,0.949443359093328,,
18,18,727.9074769154298,1380.14400738926,761.5932869953572,1384.2005648038828,33.68581008911133,4.0565571784973145,33.92918395996094,6.903248310089111,medium_confidence,6.028048451089724,4.454936504364014,3.942354679107666,0.8849407113313001,,
19,19,1054.873660857557,464.88112666522005,1028.2434045476625,473.00222018705693,-26.63025665283203,8.12109375,27.841026306152344,7.847102165222168,medium_confidence,5.7817088980369675,4.725836277008057,4.025717735290527,0.8518529841747339,,
20,20,831.3947380472324,1117.1862704946743,865.4781258903968,1120.5025680817828,34.08338928222656,3.3162975311279297,34.244346618652344,6.763014316558838,medium_confidence,5.707997672634607,4.0894389152526855,3.9622631072998047,0.9689014041807682,,
